,Execution_Date,Exit_Date,Gross_Return,Turnover,TCA_Fraction,Net_Return,Wealth,Terminal_Cost_Only
0,2023-10-18,2023-11-16,0.1758451318428622,1.0,0.0002,0.1756451318428622,1.1756451318428622,False
1,2023-11-16,2023-12-18,0.11833145901878167,1.0000000000000009,0.0002000000000000002,0.11813145901878166,1.3145258065557874,False
2,2023-12-18,2024-01-19,0.08970412879010436,0.9577813271225779,0.0001915562654245156,0.08951257252467985,1.4321923931506757,False
3,2024-01-19,2024-02-20,0.09690665529744545,0.9866381211242321,0.00019732762422484642,0.0967093276732206,1.5706987565909782,False
4,2024-02-20,2024-03-20,0.0715056589347442,1.0500783984400128,0.00021001567968800258,0.07129564325505619,1.682682734802049,False
5,2024-03-20,2024-04-19,-0.11382600748195064,0.34929049384595934,6.985809876919188e-05,-0.11389586558071983,1.4910321282240369,False
6,2024-04-19,2024-05-20,0.21127378287197363,1.098556859302973,0.00021971137186059463,0.21105407150011304,1.8057205296231988,False
7,2024-05-20,2024-06-20,0.15345186759628116,0.7505334535332944,0.0001501066907066589,0.15330176090557449,2.0825406665177817,False
8,2024-06-20,2024-07-22,0.02648495907104785,1.0042051298333636,0.00020084102596667274,0.026284118045081177,2.1372784112302172,False
9,2024-07-22,2024-08-20,-0.06772152346529013,1.0382487257682103,0.00020764974515364207,-0.06792917321044377,1.9920948558348177,False
10,2024-08-20,2024-09-19,0.018211444482956196,1.0077994284189544,0.0002015598856837909,0.018009884597272405,2.0279722542952228,False
11,2024-09-19,2024-10-18,0.11671334687286218,1.0293960977800092,0.00020587921955600184,0.11650746765330618,2.264246166114326,False
12,2024-10-18,2024-11-18,0.015139140627684622,1.064796038527783,0.00021295920770555662,0.014926181419979066,2.2980427151692404,False
13,2024-11-18,2024-12-18,0.08341051121895116,0.0,0.0,0.08341051121895116,2.4897236328444934,False
14,2024-12-18,2025-01-22,0.05431265916613895,1.0331524027808934,0.0002066304805561787,0.05410602868558277,2.624432691142351,False
15,2025-01-22,2025-02-21,-0.03221254280310442,0.35963603302561925,7.192720660512386e-05,-0.03228447000970954,2.539704272632665,False
16,2025-02-21,2025-03-24,-0.21001067548777552,1.0573433217967068,0.00021146866435934136,-0.21022214415213486,2.005802194927488,False
17,2025-03-24,2025-04-23,-0.15510635118305086,1.0360754649310726,0.00020721509298621453,-0.15531356627603707,1.694273902788997,False
18,2025-04-23,2025-05-22,0.2350708079785631,0.6277157097710506,0.00012554314195421012,0.2349452648366089,2.092335533585513,False
19,2025-05-22,2025-06-24,0.08849941882483098,0.5591403520018701,0.00011182807040037402,0.0883875907544306,2.2772720304490224,False
20,2025-06-24,2025-07-24,0.1353072188676785,0.9831476707724908,0.00019662953415449817,0.135110589333524,2.5849555965557407,False
21,2025-07-24,2025-08-22,0.024726739788167522,1.0174850257329788,0.0002034970051465958,0.024523242783020927,2.648347090233406,False
22,2025-08-22,2025-09-23,0.14281686733571908,1.0195127569980051,0.00020390255139960103,0.14261296478431948,3.0260357205495176,False
23,2025-09-23,2025-10-22,0.007094897329595806,1.0281131201214833,0.00020562262402429665,0.006889274705571509,3.0468829118972556,False
24,2025-10-22,2025-11-20,-0.07055356959489072,0.3225852264431437,6.451704528862874e-05,-0.07061808664017935,2.8317178704424135,False
25,2025-11-20,2025-12-22,0.16792251570922678,1.057134627587434,0.0002114269255174868,0.1677110887837093,3.306628357622597,False
26,2025-12-22,2026-01-23,0.05874638142964826,1.0118072680670882,0.00020236145361341766,0.058544019976034846,3.5002116742445777,False
27,2026-01-23,2026-02-24,-0.08458995625659194,1.0629372429681805,0.00021258744859363612,-0.08480254370518557,3.203384820762051,False
28,2026-02-24,2026-03-25,-0.10680208378772804,0.0,0.0,-0.10680208378772804,2.8612566467306864,False
29,2026-03-25,2026-04-24,0.40932644986266387,0.0,0.0,0.40932644986266387,4.032444672082908,False
30,2026-04-24,2026-05-26,0.1593506195615293,1.0304054482312563,0.00020608108964625127,0.15914453847188303,4.674186218334946,False
31,2026-05-26,2026-06-25,-0.027435810038179687,0.4716794319266612,9.433588638533224e-05,-0.027530145924565017,4.545505189665595,False
32,2026-06-25,2026-07-27,-0.07919452395321824,0.5162492484933789,0.0001032498496986758,-0.07929777380291692,4.185056747315508,False
33,2026-07-27,2026-07-27,0.0,1.0610483675051454,0.0002122096735010291,-0.0002122096735010291,4.184168637789576,True
